Modelo,RMSE,MAE,R2,MAPE,Tiempo Entrenamiento (seg)
Random Forest (Árboles),0.500158843947756,0.32821983337785704,0.7806826011886077,0.18346784258706547,40.60876107215881
Lasso (Regularizado),0.6543545339475902,0.4866908413631896,0.6246093829455815,0.2992265539468665,2.3236210346221924
